set_num,lego_info,value
10211-1,num_parts,2186
10212-1,num_parts,2502
10212-1,theme_id,174
10213-1,num_parts,1203
10213-1,theme_id,276
10213sup-1,num_parts,29
10213sup-1,theme_id,443
10214-1,theme_id,276
10214-1,num_parts,4295
10215-1,num_parts,675
10215-1,theme_id,175
10216-1,num_parts,686
10216-1,theme_id,227
10217-1,num_parts,2031
10217-1,theme_id,246
10218-1,theme_id,155
10218-1,num_parts,2034
10219-1,num_parts,1232
10219-1,theme_id,240
10220-1,theme_id,276
10220-1,num_parts,1333
10221-1,theme_id,174
10221-1,num_parts,3151
10222-1,theme_id,227
10222-1,num_parts,821
10223-1,num_parts,1574
10223-1,theme_id,196
10224-1,theme_id,155
10224-1,num_parts,2771
10225-1,theme_id,171
10225-1,num_parts,2130
10226-1,theme_id,276
10226-1,num_parts,877
10227-1,theme_id,174
10227-1,num_parts,1484
10228-1,theme_id,558
10228-1,num_parts,2062
10229-1,num_parts,1490
10229-1,theme_id,227
10230-1,num_parts,1358
10230-1,theme_id,156
10231-1,theme_id,276
10231-1,num_parts,1229
10232-1,theme_id,155
10232-1,num_parts,2192
10233-1,theme_id,240
10233-1,num_parts,1349
10234-1,theme_id,276
10234-1,num_parts,2988
10235-1,theme_id,227
10235-1,num_parts,1259
10236-1,num_parts,2023
10236-1,theme_id,169
10237-1,num_parts,2360
10237-1,theme_id,568
10240-1,num_parts,1573
10240-1,theme_id,174
10241-1,num_parts,1515
10241-1,theme_id,38
10242-1,theme_id,22
10242-1,num_parts,1074
10242-2,num_parts,1076
10242-2,theme_id,22
10243-1,num_parts,2469
10243-1,theme_id,155
10244-1,num_parts,1743
10244-1,theme_id,22
10245-1,num_parts,882
10245-1,theme_id,228
10246-1,num_parts,2261
10246-1,theme_id,155
1024601-1,theme_id,297
1024601-1,num_parts,3
10247-1,theme_id,22
10247-1,num_parts,2463
10248-1,num_parts,1157
10248-1,theme_id,22
10249-1,num_parts,895
10249-1,theme_id,227
10250-1,num_parts,244
10250-1,theme_id,22
10251-1,theme_id,155
10251-1,num_parts,2383
10252-1,num_parts,1166
10252-1,theme_id,22
10253-1,theme_id,43
10253-1,num_parts,4166
10254-1,num_parts,737
10254-1,theme_id,227
10255-1,num_parts,4009
10255-1,theme_id,155
10257-1,theme_id,22
10257-1,num_parts,2669
10285-1,num_parts,1
10285-1,theme_id,259
10287-1,theme_id,259
10287-1,num_parts,1
1029-1,theme_id,75
1029-1,num_parts,90
102A-1,theme_id,416
102A-1,num_parts,64
102A-2,theme_id,416
102A-2,num_parts,56
103-1,theme_id,473
103-1,num_parts,24
1030-1,theme_id,1
1030-1,num_parts,189
1031-1,num_parts,20
1031-1,theme_id,532
1032-1,theme_id,1
1032-1,num_parts,278
1033-1,theme_id,532
1033-1,num_parts,20
1034-1,num_parts,1534
1034-1,theme_id,532
1038-1,num_parts,120
1038-1,theme_id,1
1039-1,theme_id,1
1039-1,num_parts,39
104-1,theme_id,243
104-1,num_parts,1
1045-2,num_parts,683
1045-2,theme_id,511
1049-1,num_parts,238
1049-1,theme_id,510
105-1,theme_id,81
105-1,num_parts,65
105-2,theme_id,469
105-2,num_parts,150
10500-1,num_parts,44
10500-1,theme_id,504
10501-1,theme_id,504
10501-1,num_parts,5
10504-1,theme_id,504
10504-1,num_parts,62
10505-1,theme_id,504
10505-1,num_parts,83
10506-1,theme_id,504
10506-1,num_parts,24
10507-1,num_parts,52
10507-1,theme_id,504
10508-1,num_parts,134
10508-1,theme_id,504
10509-1,num_parts,16
10509-1,theme_id,504
10510-1,num_parts,40
10510-1,theme_id,504
10511-1,theme_id,504
10511-1,num_parts,49
10512-1,theme_id,504
10512-1,num_parts,22
10513-1,theme_id,504
10513-1,num_parts,37
10514-1,num_parts,56
10514-1,theme_id,504
10515-1,theme_id,504
10515-1,num_parts,39
10516-1,num_parts,29
10516-1,theme_id,504
10517-1,theme_id,504
10517-1,num_parts,37
10518-1,theme_id,504
10518-1,num_parts,47
10520-1,theme_id,504
10520-1,num_parts,12
10521-1,theme_id,504
10521-1,num_parts,9
10522-1,theme_id,504
10522-1,num_parts,12
10524-1,theme_id,504
10524-1,num_parts,29
10525-1,theme_id,504
10525-1,num_parts,121
10526-1,num_parts,39
10526-1,theme_id,504
10527-1,theme_id,504
10527-1,num_parts,14
10528-1,theme_id,504
10528-1,num_parts,26
10529-1,num_parts,16
10529-1,theme_id,504
1053-1,theme_id,533
1053-1,num_parts,895
10531-1,theme_id,504
10531-1,num_parts,65
10532-1,num_parts,39
10532-1,theme_id,504
10538-1,theme_id,506
10538-1,num_parts,30
10539-1,num_parts,36
10539-1,theme_id,504
1054-1,num_parts,211
1054-1,theme_id,471
10542-1,num_parts,55
10542-1,theme_id,579
10543-1,theme_id,504
10543-1,num_parts,19
10544-1,num_parts,40
10544-1,theme_id,504
10545-1,num_parts,59
10545-1,theme_id,504
10546-1,num_parts,39
10546-1,theme_id,504
10550-1,theme_id,504
10550-1,num_parts,9
10552-1,num_parts,42
10552-1,theme_id,504
10553-1,theme_id,505
10553-1,num_parts,17
10554-1,theme_id,505
10554-1,num_parts,15
10555-1,theme_id,505
10555-1,num_parts,65
10557-1,num_parts,200
10557-1,theme_id,504
10558-1,num_parts,31
10558-1,theme_id,504
1056-1,theme_id,534
1056-1,num_parts,785
10561-1,num_parts,37
10561-1,theme_id,505
10565-1,theme_id,504
10565-1,num_parts,135
10566-1,theme_id,504
10566-1,num_parts,52
10567-1,theme_id,504
10567-1,num_parts,18
10568-1,theme_id,504
10568-1,num_parts,16
10569-1,num_parts,46
10569-1,theme_id,504
10570-1,theme_id,504
10570-1,num_parts,30
10571-1,num_parts,65
10571-1,theme_id,504
10572-1,num_parts,65
